CVE,Highest_Threshold,Group_Size,Is_Base_CVE,Ratio_Score,Token_Sort_Score,Token_Set_Score,Similar_CVEs
CVE-2021-36412,70.0,4.0,False,70.50359712230217,66.18705035971223,72.26277372262774,CVE-2021-36414|CVE-2017-14224|CVE-2021-36417
CVE-2021-36417,75.0,2.0,False,78.53403141361257,78.53403141361257,78.89273356401384,CVE-2021-36414
CVE-2021-36613,95.0,2.0,True,,,,CVE-2021-36614
CVE-2021-36614,95.0,2.0,False,96.7741935483871,95.7816377171216,98.96373056994818,CVE-2021-36613
CVE-2021-3674,,,False,,,,
CVE-2021-36762,,,False,,,,
CVE-2021-3700,,,False,,,,
CVE-2021-37014,85.0,9.0,False,86.70886075949366,77.84810126582279,86.0655737704918,CVE-2021-22427|CVE-2021-37049|CVE-2021-22367|CVE-2021-37021|CVE-2021-37011|CVE-2021-37020|CVE-2021-22428|CVE-2021-22384
CVE-2021-37020,95.0,3.0,False,100.0,100.0,100.0,CVE-2021-37021|CVE-2021-37011
CVE-2021-37021,95.0,3.0,True,,,,CVE-2021-37011|CVE-2021-37020
CVE-2021-37041,95.0,2.0,True,,,,CVE-2021-37042
CVE-2021-37042,95.0,2.0,False,100.0,100.0,100.0,CVE-2021-37041
CVE-2021-37049,85.0,9.0,False,86.34920634920636,81.26984126984127,87.4493927125506,CVE-2021-22427|CVE-2021-22367|CVE-2021-37014|CVE-2021-37021|CVE-2021-37011|CVE-2021-37020|CVE-2021-22428|CVE-2021-22384
CVE-2021-37404,,,False,,,,
CVE-2021-3752,,,False,,,,
CVE-2021-3782,,,False,,,,
CVE-2021-38005,95.0,95.0,False,96.02649006622516,94.03973509933775,95.8041958041958,CVE-2022-2855|CVE-2022-0606|CVE-2022-2011|CVE-2020-6463|CVE-2020-6542|CVE-2021-30604|CVE-2022-1479|CVE-2022-1854|CVE-2022-1639|CVE-2022-0978|CVE-2022-0975|CVE-2022-0609|CVE-2020-6377|CVE-2020-6545|CVE-2021-21114|CVE-2020-6428|CVE-2020-6429|CVE-2020-6449|CVE-2020-6427|CVE-2020-15972|CVE-2020-6406|CVE-2020-6423|CVE-2021-30510|CVE-2021-30546|CVE-2021-30572|CVE-2021-4065|CVE-2021-30544|CVE-2022-1308|CVE-2022-2857|CVE-2019-5808|CVE-2020-6552|CVE-2021-21206|CVE-2019-5869|CVE-2021-21112|CVE-2020-6474|CVE-2021-21188|CVE-2021-21203|CVE-2020-15968|CVE-2019-13687|CVE-2019-5842|CVE-2019-13688|CVE-2021-21193|CVE-2021-21122|CVE-2021-30560|CVE-2022-1131|CVE-2022-1919|CVE-2022-2156|CVE-2020-6539|CVE-2022-2852|CVE-2021-30515|CVE-2021-21145|CVE-2022-0607|CVE-2021-30573|CVE-2021-37982|CVE-2020-6550|CVE-2019-13696|CVE-2022-3040|CVE-2021-30548|CVE-2020-16001|CVE-2020-6544|CVE-2020-6549|CVE-2020-6424|CVE-2021-38008|CVE-2022-0796|CVE-2022-1855|CVE-2019-5872|CVE-2022-2603|CVE-2020-6459|CVE-2022-0468|CVE-2022-2478|CVE-2020-16003|CVE-2020-15993|CVE-2021-21194|CVE-2020-6532|CVE-2019-13685|CVE-2020-6386|CVE-2020-6378|CVE-2021-30569|CVE-2022-0096|CVE-2022-1305|CVE-2022-2854|CVE-2021-4099|CVE-2022-1478|CVE-2022-0103|CVE-2021-30579|CVE-2019-5813|CVE-2021-4102|CVE-2021-21195|CVE-2020-6379|CVE-2021-30541|CVE-2021-37975|CVE-2019-5878|CVE-2020-6448|CVE-2020-15994
CVE-2021-38006,95.0,2.0,False,100.0,100.0,100.0,CVE-2021-38011
CVE-2021-38007,95.0,32.0,False,95.97315436241611,95.30201342281879,95.74468085106383,CVE-2020-6464|CVE-2022-0795|CVE-2021-30627|CVE-2021-4056|CVE-2021-30551|CVE-2021-30588|CVE-2022-2295|CVE-2020-6383|CVE-2020-6418|CVE-2021-30563|CVE-2021-30561|CVE-2021-30517|CVE-2021-30513|CVE-2021-38012|CVE-2022-2158|CVE-2022-1134|CVE-2022-1869|CVE-2020-6468|CVE-2021-38001|CVE-2022-0102|CVE-2022-1232|CVE-2022-0457|CVE-2022-1096|CVE-2022-1314|CVE-2020-6512|CVE-2020-6533|CVE-2020-6430|CVE-2021-4078|CVE-2021-4061|CVE-2021-21230|CVE-2018-6122
